Code,Description (English),বর্ণনা,
6217303,Departmental cheques remittance,বিভাগীয় চেক রেমিটেন্স,
6217304,Intra department transfers,আন্তঃবিভাগ স্থানান্তর,
6217305,Cash and bank remittance,ক্যাশ ও ব্যাংক রেমিটেন্স,
6217306,Exchange accounts in between CGA and CGDF,সি.জি.এ ও সি.জি.ডি.এফ অ্যাকাউন্টের মধ্যে এক্সচেঞ্জ অ্যাকাউন্ট,
6217307,Exchange accounts between CGA and railway accounts,সি.জি.এ ও রেলওয়ে অ্যাকাউন্টের মধ্যে এক্সচেঞ্জ অ্যাকাউন্ট,
622,Foreign liabilities,বৈদেশিক দায়,
6221,Currency and deposit,মুদ্রা ও জামানত,
6222,Debt securities,দেনা অর্থপত্র (Debt securities),
6223,Loans,ঋণ,
62231,External loans,বৈদেশিক ঋণ,
6223101,External loans,বৈদেশিক ঋণ,
6223102,Transactions with IMF,আইএমএফ এর সঙ্গে লেনদেন,
6224,Equity and investment fund shares,সমমূলধন (Equity) ও বিনিয়োগ তহবিল শেয়ার,
62241,Equity,সমমূলধন (Equity),
62242,Investment fund shares or units,বিনিয়োগ তহবিল শেয়ার বা ইউনিট,
6225,"Insurance, pension and standardized guarantee schemes","বিমা, পেনশন ও প্রমিত গ্যারান্টি স্কিম",
62251,Non life insurance technical reserves,অজীবনবিমা প্রযুক্তিগত মজুত,
62252,Life insurance and annuity entitlements,জীবনবিমা ও বার্ষিক এনটাইটেলমেন্ট,
62253,Pension entitlements,পেনশন এনটাইটেলমেন্ট,
62254,Claims of pension fund on pension manager,পেনশন ম্যানেজারের ওপর পেনশন তহবিলের দাবি,
62255,Provisions for calls under standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের অধীন নিলাম ডাকের ব্যবস্থাপত্র,
6226,Financial derivatives and employee stock options,ফিন্যান্সিয়াল ডেরিভেটিভস এন্ড এমপ্লয়ি স্টক অপশন,
62261,Financial derivatives,ফিন্যান্সিয়াল ডেরিভেটিভস,
62262,Employee stock options,কর্মচারী স্টক অপশন,
6227,Other accounts payable,অন্যান্য প্রদেয় হিসাব,
62271,Trade credit and advances,ট্রেড ক্রেডিট ও অগ্রিম,
62272,Miscellaneous other accounts payable,বিবিধ অন্যান্য দেয় হিসাব,
7,Assets,সম্পদ,
71,Assets,সম্পদ,
711,Fixed assets,স্থায়ী সম্পদ,
7111,Buildings and structures,ভবন ও স্থাপনাসমূহ,
71111,Residential buildings,আবাসিক ভবনসমূহ,
7111101,Residential buildings,আবাসিক ভবন,
71112,Non-residential buildings,অনাবাসিক ভবনসমূহ,
7111201,Non-residential buildings,অনাবাসিক ভবন,
71113,Other structures,অন্যান্য স্থাপনা,
7111301,Monuments,স্মৃতিসৌধ,
7111302,Roads & highways,সড়ক ও মহাসড়ক,
7111303,Bridges,সেতু,
7111304,Rural roads,গ্রামীণ সড়ক,
7111305,Culverts,কালভার্ট,
7111306,Irrigation structures,সেচ কাঠামো,
7111307,Drainage structures,নিকাশ (drainage) কাঠামো,
7111308,Sinking of tube well,নলকূপ স্থাপন,
7111309,Sanitation & water supply,স্বাস্থ্য বিধান (sanitation) ও পানি সরবরাহ,
7111310,Excavation of religious sites and monuments,স্মৃতিসৌধ ও ধর্মীয় স্থানসমূহ খনন,
7111311,Railway installations,রেলওয়ে স্থাপনা,
7111312,Telecommunication,টেলিযোগাযোগ,
7111313,Lines and wires,লাইন ও তার,
7111314,Mast and aerials,খুঁটি ও এরিয়াল,
7111315,Small capital works,স্বল্প মূলধনি কাজ,
7111316,Gas line,গ্যাস লাইন,
7111317,Other buildings & structures,অন্যান্য ভবন ও স্থাপনা,
7111318,Tarmac/Runway,ট্যারমাক/রানওয়ে,
71114,Land improvements,ভূমি উন্নয়ন,
7112,Machinery and equipment,যন্ত্রপাতি ও সরঞ্জামাদি,
71121,Transport equipment,পরিবহণ সরঞ্জামাদি,
7112101,Motor vehicle,মোটরযান,
7112102,Water vehicle,জলযান,
7112103,Aircraft,আকাশযান,
7112104,Rolling stock,রোলিং স্টক,
7112105,Under water vehicle,ডুবোজাহাজ,
71122,Machinery and equipment other than transport equipment,পরিবহণ যন্ত্রপাতি ছাড়া অন্যান্য যন্ত্রপাতি ও সরঞ্জাম,
7112201,ICT equipments,তথ্য যোগাযোগ প্রযুক্তি সরঞ্জামাদি,
7112202,Computers and accessories,কম্পিউটার ও আনুষঙ্গিক,
7112203,Radio equipments,বেতার সরঞ্জামাদি,
7112204,Telecommunication equipments,টেলিযোগাযোগ সরঞ্জামাদি,
7112205,"Information, computer, and telecommunications (ICT) equipment",তথ্য যোগাযোগ প্রযুক্তি সরঞ্জামাদি,
71123,Machinery and equipment not elsewhere classified,যন্ত্রপাতি ও সরঞ্জাম যা অন্যত্র শ্রেণিবদ্ধ নয়,
7112301,Ballot box,ব্যালট বাক্স,
7112302,Camera and accessories,ক্যামেরা ও আনুষঙ্গিক,
7112303,Electrical equipment,বৈদ্যুতিক সরঞ্জামাদি,
7112304,Engineering and other equipments,প্রকৌশল ও অন্যান্য সরঞ্জামাদি,
7112305,Fire fighting equipment,অগ্নিনির্বাপক সরঞ্জামাদি,
7112306,Laboratory equipment,গবেষণাগার সরঞ্জামাদি,
7112307,Meteorological equipment,আবহাওয়া সম্পর্কিত সরঞ্জামাদি,
7112308,Military hardware,সামরিক যন্ত্রপাতি (hardware),
7112309,Mobile instrument,মোবাইল যন্ত্র,
7112310,Office equipment,অফিস সরঞ্জামাদি,
7112311,Tents and other equipments,তাবু ও অন্যান্য সরঞ্জাম,
7112312,Teaching and learning materials,শিক্ষা ও শিক্ষণ উপকরণ,
7112313,Solar electric panels,সৌরবিদ্যুৎ প্যানেল,
7112314,Furniture,আসবাবপত্র,
7112315,Medical Machinery,চিকিৎসা যন্ত্রপাতি,
7112316,Other Machineries and equipment,অন্যান্য যন্ত্রপাতি ও সরঞ্জামাদি,
7112317,Cultural equipment,সাংস্কৃতিক উপকরণ,
7113,Other fixed assets,অন্যান্য স্থায়ী সম্পদ,
71131,Cultivated biological resources,চাষকৃত জৈব সম্পদ,
7113101,Animal resources yielding repeat products,প্রাণিসম্পদ উৎপন্নকারী আবর্তক পণ্য,
7113102,"Tree, crop, and plant resources yielding repeat products","বৃক্ষ, শস্য ও উদ্ভিজ্জসম্পদ উৎপন্নকারী আবর্তক পণ্য",
71132,Intellectual property products,মেধাসম্পত্তি পণ্য,
7113201,Research and development,গবেষণা ও উন্নয়ন,
7113202,Mineral exploration and evaluation,খনিজ অনুসন্ধান ও মূল্যায়ন,
71133,Computer software and databases,কম্পিউটার সফট্ওয়্যার ও ড্যাটাবেজ,
7113301,Computer software,কম্পিউটার সফট্ওয়্যার,
7113302,Databases,ড্যাটাবেজ,
71134,"Entertainment, literary, and artistic originals","মৌলিক বিনোদন, সাহিত্য, ও শৈল্পিক স্বত্ব",
71135,Other intellectual and property products,অন্যান্য মেধাসম্পত্তি পণ্য,
71136,Costs of ownership transfer on nonproduced assets other than land,ভূমি ব্যতীত অউৎপাদিত সম্পদের ওপর মালিকানা স্থানান্তর খরচ,
7114,Weapons systems,উইপন সিস্টেম,
712,inventories,তালিকাভুক্ত মালামাল (Inventories),
7121,Materials and supplies,উপকরণ ও সরবরাহ,
7122,Work in progress,চলমান কাজ,
7123,Finished goods,তৈরি পণ্য,
7124,Goods for resale,পুর্নবিক্রয় সামগ্রী,
71241,Food stuff,খাদ্য দ্রব্য,
7124101,Purchase of rice,চাল ক্রয়,
7124102,Purchase of wheat,গম ক্রয়,
7124103,Purchase of edible oil,ভোজ্য তেল ক্রয়,
7124104,Purchase of corn,ভূট্টা ক্রয়,
7124105,Purchase of other foods,অন্যান্য খাদ্যদ্রব্য ক্রয়,
7125,Military inventories,তালিকাভুক্ত সামরিক মালামাল (Military inventories),
713,Valuables,মূল্যবান দ্রব্যাদি,
7131,Valuables,মূল্যবান দ্রব্যাদি,
71311,Valuables,মূল্যবান দ্রব্যাদি,
7131101,"Museum artifacts, paintings, archives and films","যাদুঘর শিল্পকর্ম, পেইন্টিং, আর্কাইভ ও চলচ্চিত্র",
714,Nonproduced assets,অউৎপাদিত সম্পদ,
7141,Land,ভূমি,
71411,Land,ভূমি,
7141101,Land acquisition,ভূমি অধিগ্রহণ,
7141102,Resettlement of land acquisition,ভূমি অধিগ্রহণজনিত পুর্নবাসন,
7141103,Purchase of land,ভূমি ক্রয়,
7142,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
71421,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
7143,Other naturally occurring assets,প্রাকৃতিকভাবে উৎপন্ন অন্যান্য সম্পদ,
71431,Noncultivated biological resources,অচাষকৃত জৈব সম্পদ,
7143101,Animal resources yielding repeat products,প্রাণিসম্পদ উৎপন্নকারী আবর্তক পণ্য,
7143102,"Tree, crop, and plant resources yielding repeat products","বৃক্ষ, শস্য ও উদ্ভিজ্জসম্পদ উৎপন্নকারী আবর্তক পণ্য",
71432,Water resources,পানি সম্পদ,
71433,Other natural resources,অন্যান্য প্রাকৃতিক সম্পদ,
7143301,Radio spectra,রেডিও স্পেক্ট্রা,
7143302,Natural resources not elsewhere classified,প্রাকৃতিক সম্পদ যা অন্যত্র শ্রেণিবদ্ধ নয়,
7144,Intangible nonproduced assets,অপরিমাপযোগ্য অউৎপাদিত সম্পদ,
71441,"Contracts, leases, and license","চুক্তি, ইজারা ও লাইসেন্স",
7144101,Marketable operating leases,বিপণনযোগ্য ইজারা পরিচালনা,
7144102,Permits to use natural resources,প্রাকৃতিক সম্পদ ব্যবহারের অনুমতিপত্র,
7144103,Permits to undertake specific activities,নির্দিষ্ট কার্যক্রম গ্রহণের অনুমতিপত্র,
7144104,Entitlement to future goods and services on an exclusive basis,ভবিষ্যতে এককভাবে পণ্য ও পরিসেবা প্রাপ্তির অধিকারপত্র,
71442,Goodwill and marketing assets,সুনাম ও বিপণন সম্পদ,
72,Financial assets,আর্থিক সম্পদ,
721,Domestic financial assets,দেশজ আর্থিক সম্পদ,
7211,Monetary gold and Special Drawing Rights (SDRs),মনিটারি গোল্ড ও এসডিআর,
72111,Monetary gold,মনিটারি গোল্ড,
72112,Special drawing rights,স্পেশাল ড্রইং রাইট,
7212,Currency and deposit,মুদ্রা ও জামানত,
72121,Treasury single account,ট্রেজারি সিঙ্গেল অ্যাকাউন্ট,
7212101,Bangladesh bank deposit,বাংলাদেশ ব্যাংকে জমা,
72122,Non TSA account,নন টি.এস.এ. অ্যাকাউন্ট,
7212201,Bank deposit,ব্যাংক জামানত,
72123,Cash in hand,ক্যাশ ইন হ্যান্ড,
7212301,Cash in hand,ক্যাশ ইন হ্যান্ড,
7212302,Bank deposit (Non TSA),ব্যাংকে জমা (নন টি.এস.এ.),
72124,Cash in transit,ক্যাশ ইন ট্রানজিট,
7212401,Sonali bank deposit,সোনালী ব্যাংকে জমা,
7213,Advances,অগ্রিম,
72131,Advances,অগ্রিম,
7213101,Drawing and disbursement officer's advance,আয়ন ব্যয়ন কর্মকর্তার অগ্রিম,
7213102,Advance against TA on transfer,বদলিজনিত ভ্রমণ ব্যয়ের অগ্রিম,
7213103,Advances holders/Imprest holders,এ্যাডভান্স হোল্ডার/ইমপ্রেস্ট হোল্ডার,
7213104,Advance from special account,বিশেষ অ্যাকাউন্ট থেকে অগ্রিম,
7213105,Advance pay on transfer (repayable),বদলিজনিত বেতন অগ্রিম (পুন:পরিশোধযোগ্য),
7214,Debt securities,দেনা অর্থপত্র (Debt securities),
7215,Loans,ঋণ,
72151,Loan to government employees,সরকারি কর্মচারীদের ঋণ,
7215101,House building loan,গৃহনির্মাণ ঋণ,
7215102,Computer loan,কম্পিউটার ঋণ,
7215103,Interest free loan,সুদমুক্ত ঋণ,
7215104,Motor car loan,মোটরগাড়ি ঋণ,
7215105,Motor cycle loan,মোটর সাইকেল ঋণ,
7215106,Bicycle loan,বাইসাইকেল ঋণ,
72152,Loan to autonomous bodies,স্বায়ত্বশাসিত সংস্থাকে প্রদত্ত ঋণ,
7215201,Loan to autonomous bodies,স্বায়ত্বশাসিত সংস্থাকে প্রদত্ত ঋণ,
7215202,Development loan,উন্নয়ন ঋণ,
7215203,Operating loan,পরিচালন ঋণ,
7215204,Interest free loan,সুদমুক্ত ঋণ,
7215205,On lent foreign loan,বৈদেশিক ঋণের ভিত্তিতে দেয় ঋণ,
7215206,Co-operative loan,সমবায় ঋণ,
7215207,Agriculture loan,কৃষি ঋণ,
7215208,Special Loan,বিশেষ ঋণ,
72153,Loan to Consolidated Fund,সংযুক্ত তহবিলে দেয় ঋণ,
7215301,Loan to Consolidated Fund,সংযুক্ত তহবিলে দেয় ঋণ,
7216,Equity and investment fund shares,সমমূলধন (Equity) ও বিনিয়োগ তহবিল শেয়ার,
72161,Equity,সমমূলধন (Equity),
7216101,Share capital,শেয়ার মূলধন,
7216102,Equity of international financial institutions,আন্তর্জাতিক আর্থিক প্রতিষ্ঠানের সমমূলধন,
72162,Investment fund shares or units,বিনিয়োগ তহবিল শেয়ার বা ইউনিট,
7217,"Insurance, pension, and standardized guarantee schemes","বিমা, পেনশন ও প্রমিত গ্যারান্টি স্কিম",
72171,Non life insurance technical reserves,অজীবনবিমা প্রযুক্তিগত মজুত,
72172,Life insurance and annuity entitlements,জীবনবিমা ও বার্ষিক এনটাইটেলমেন্ট,
72173,Pension entitlements,পেনশন এনটাইটেলমেন্ট,
72174,Claims of pension fund on pension manager,পেনশন ম্যানেজারের ওপর পেনশন তহবিলের দাবি,
72175,Provisions for calls under standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের অধীন নিলাম ডাকের ব্যবস্থাপত্র,
7218,Financial derivatives and employee stock options,ফিন্যান্সিয়াল ডেরিভেটিভস এন্ড এমপ্লয়ি স্টক অপশন,
72181,Financial derivatives,ফিন্যান্সিয়াল ডেরিভেটিভস,
72182,Employee stock options,কর্মচারী স্টক অপশন,
7219,Other accounts receivable,অন্যান্য গৃহীতব্য হিসাব,
72191,Trade credit and advances,ট্রেড ক্রেডিট ও অগ্রিম,
72192,Miscellaneous other accounts receivable,বিবিধ অন্যান্য গৃহীতব্য হিসাব,
7219201,Bangladesh bank - security services,বাংলাদেশ ব্যাংক-নিরাপত্তা সেবা,
7219202,advance payments to suppliers,সরবরাহকারীকে প্রদত্ত অগ্রিম,
7219203,Forest department advance,বন বিভাগের অগ্রিম,
7219204,Railway advance,রেলওয়ে বিভাগের অগ্রিম,
7219205,Reimbursable project aid,পুনর্ভরণযোগ্য প্রকল্প সাহায্য,
7219206,Reimbursable project aid through special account,বিশেষ হিসাবের মাধ্যমে পুনর্ভরণযোগ্য প্রকল্প সাহায্য,
7219207,DPA (Cash) through Bangladesh Bank,ডিপিএ (ক্যাশ) বাংলাদেশ ব্যাংকের মাধ্যমে,
722,Foreign financial assets,বৈদেশিক আর্থিক সম্পদ,
7221,Currency and deposit,মুদ্রা ও জামানত,
72211,Currency and deposit,মুদ্রা ও আমানত,
7221101,Bank deposit,ব্যাংক জামানত,
7222,Debt securities,দেনা অর্থপত্র (Debt securities),
7223,Loans,ঋণ,
7224,Equity and investment fund shares,সমমূলধন (Equity) ও বিনিয়োগ তহবিল শেয়ার,
72241,Equity,সমমূলধন (Equity),
72242,Investment fund shares or units,বিনিয়োগ তহবিল শেয়ার বা ইউনিট,
7224201,IMF Contributions,আইএমএফ কন্ট্রিবিউশন,
7224202,Promissory notes - extended quota,অঙ্গীকারপূর্ণ নোট (প্রমিজরি নোট) বর্ধিত কোটা,
7225,"Insurance, pension, and standardized guarantee schemes","বিমা, পেনশন ও প্রমিত গ্যারান্টি স্কিম",
72251,Non life insurance technical reserves,অজীবনবিমা প্রযুক্তিগত মজুত,
72252,Life insurance and annuity entitlements,জীবনবিমা ও বার্ষিক এনটাইটেলমেন্ট,
72253,Pension entitlements,পেনশন এনটাইটেলমেন্ট,
72254,Claims of pension fund on pension manager,পেনশন ম্যানেজারের ওপর পেনশন তহবিলের দাবি,
72255,Provisions for calls under standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের অধীন নিলাম ডাকের ব্যবস্থাপত্র,
7226,Financial derivatives and employee stock options,ফিন্যান্সিয়াল ডেরিভেটিভস এন্ড এমপ্লয়ি স্টক অপশন,
72261,Financial derivatives,ফিন্যান্সিয়াল ডেরিভেটিভস,
72262,Employee stock options,কর্মচারী স্টক অপশন,
7227,Other accounts receivable,অন্যান্য গৃহীতব্য হিসাব,
72271,Trade credit and advances,ট্রেড ক্রেডিট ও অগ্রিম,
72272,Miscellaneous other accounts payable,বিবিধ অন্যান্য দেয় হিসাব,
8,Liabilities,দায়,
81,Domestic liabilities,অভ্যন্তরীণ দায়,
811,Currency and deposit,মুদ্রা ও জামানত,
8111,National saving certificates,জাতীয় সঞ্চয়পত্রসমূহ,
81111,Saving certificates,সঞ্চয়পত্রসমূহ,
8111101,Bonus saving certificate,বোনাস সঞ্চয়পত্র,
8111102,Bangladesh saving certificate (three years),বাংলাদেশ সঞ্চয়পত্র (তিন বছর),
8111103,Family savings certificates,পারিবারিক সঞ্চয়পত্র,
8111104,Defence savings certificate,প্রতিরক্ষা সঞ্চয়পত্র,
8111105,Savings certificates with six months profit,ছয় মাস অন্তর মুনাফাভিত্তিক সঞ্চয়পত্র,
8111106,Savings certificates with three months profit,তিন মাস অন্তর মুনাফাভিত্তিক সঞ্চয়পত্র,
8111107,Ten years Bangladesh savings certificate,দশ বছর মেয়াদি বাংলাদেশ সঞ্চয়পত্র,
8111108,Three years deposit savings certificate,তিন বছর মেয়াদি জামানত সঞ্চয়পত্র,
8111109,Deposit of pension saving certificate,পেনশনার সঞ্চয়পত্রের জামানত,
8111110,Five years deposit savings certificate,পাঁচ বছর মেয়াদি জামানত সঞ্চয়পত্র,
8111111,Bangladesh saving certificate (five year),বাংলাদেশ সঞ্চয়পত্র (পাঁচ বছর),
8111112,Jamanat saving certificate,জামানত সঞ্চয়পত্র,
81112,Postal savings,ডাকঘর সঞ্চয়সমূহ,
8111201,Postal savings bank ordinary deposit,ডাকঘর সঞ্চয় ব্যাংক-সাধারণ জামানত,
8111202,Postal fixed and term deposit,ডাকঘর সঞ্চয় ব্যাংক-স্থায়ী ও মেয়াদি জামানত,
8111203,Postal bonus deposit,ডাকঘর বোনাস জামানত,
8111204,Postal cash card deposit,ডাকঘর ক্যাশ কার্ড জামানত,
8111205,Postal life insurance and annuity,ডাকঘর জীবনবিমা ও অ্যানুয়িটি,
8111206,Post e-pay deposit,পোস্ট ই-পে জমা,
8111207,EMTS Receipts,ইএমটিএস জমা,
81113,Saving bonds,সঞ্চয় বন্ডসমূহ,
8111301,Prize bond,প্রাইজ বন্ড,
8111302,Wage earner's development bond,ওয়েজ আর্নার'স ডেভেলপমেন্ট বন্ড,
8111303,Three years national investment bond,তিন বছর মেয়াদি জাতীয় বিনিয়োগ বন্ড,
8111304,US dollar premium bond,ইউ.এস ডলার প্রিমিয়াম বন্ড,
8111305,US dollar investment bond,ইউ.এস ডলার বিনিয়োগ বন্ড,
8112,Deposits (interest bearing),জামানত (সুদযুক্ত),
81121,Contribution to contributory provident fund,কন্ট্রিবিউশন টু কন্ট্রিবিউটরি প্রভিডেন্ড ফান্ড,
8112101,Contribution to contributory provident fund,কন্ট্রিবিউশন টু কন্ট্রিবিউটরি প্রভিডেন্ড ফান্ড,
81122,Contribution to state provident fund,কন্ট্রিবিউশন টু স্টেট প্রভিডেন্ট ফান্ড,
8112201,General provident fund (Civil),সাধারণ ভবিষ্য তহবিল (সিভিল),
8112202,General provident fund (defence),সাধারণ ভবিষ্য তহবিল (প্রতিরক্ষা),
8112203,General provident fund (Railway),সাধারণ ভবিষ্য তহবিল (রেলওয়ে),
8112204,General provident fund (Postal),সাধারণ ভবিষ্য তহবিল (ডাক বিভাগ),
8112205,General provident fund (T&T),সাধারণ ভবিষ্য তহবিল (টি এন্ড টি),
8113,Deposits (non interest bearing),জামানত (সুদবিহীন),
81131,Departmental and judicial deposit,বিভাগীয় ও বিচার বিভাগীয় জামানত,
8113101,General deposit,সাধারণ জমা,
8113102,Pension deposit,পেনশন জমা,
8113103,Civil court deposit,দেওয়ানি আদালতের জমা,
8113104,Criminal court deposit,ফৌজদারি আদালতের জমা,
8113105,Customs and value added tax deposit,শুল্ক ও মূল্য সংযোজন কর জমা,
8113106,Ship's captain deposit,জাহাজের ক্যাপ্টেনের জমা,
8113107,Rent controller's deposit,রেন্ট কন্ট্রোলারের জমা,
8113108,Local rate deposit,স্থানীয় হারে জমা,
8113109,Departmental deposit,বিভাগীয় জমা,
8113110,Local fund deposit,স্থানীয় তহবিল জমা,
8113111,Deposit on Account of Alcohol and Narcotics,মদ ও মাদক হিসাবে জমা,
81132,"Renewal, reserve and depreciation","নবায়ন, সঞ্চিতি ও অবচয়",
8113201,Depreciation reserve,অবচয় সঞ্চিতি (Depreciation reserve),
8113202,Renewal reserve,নবায়ন সঞ্চিতি (Renewal reserve),
81133,Deposit against supplies and work,সরবরাহ ও কাজের বিপরীতে জামানত,
8113301,Contractor's security deposit,ঠিকাদারের নিরাপত্তা জমা,
8113302,Land acquisition deposit,ভূমি অধিগ্রহণ বাবদ জমা,
8113303,Liquidated damage,লিক্যুইডেটেড ড্যামেজ,
8113304,Deposit work,কাজের জন্য জমা,
81134,Food and commodity aid deposit,খাদ্য ও পণ্য সাহায্য বাবদ জমা,
8113401,Food aid deposit,খাদ্য সাহায্য জমা,
8113402,Debt relief grant deposit,ঋণ মওকুফ অনুদান জমা,
8113403,Commodity aid deposit,পণ্য সাহায্য জমা,
81135,Other deposits,অন্যান্য জামানত,
8113501,Election deposit,নির্বাচনি জমা,
8113502,Cashier's security deposit,কোষাধ্যক্ষের সিকিউরিটি জমা,
8113503,Cultural heritage fund,সাংস্কৃতিক ঐতিহ্য তহবিল,
8113504,General provident fund - unclaimed deposit,সাধারণ ভবিষ্য তহবিল - দাবিদারহীন জমা,
8113505,Pre liberation war assets and liabilities,প্রাক মুক্তিযুদ্ধ সম্পদ ও দায়,
8113506,Prize money deposits,প্রাইজ মানি ডিপোজিট,
8113507,Zakat deposit,যাকাত বাবদ জমা,
8113508,Deposit against lease of vested properties,অর্পিত সম্পত্তি ইজারার বিপরীতে জমা,
8113509,Personal ledger account deposit,ব্যক্তিগত লেজার অ্যাকাউন্ট,
8113510,Food deposit,খাদ্য জামানত,
812,Debt securities,দেনা অর্থপত্র (Debt securities),
8121,Treasury bills,ট্রেজারি বিলসমূহ,
81211,Treasury bills,ট্রেজারি বিলসমূহ,
8121101,Treasury bill (twenty-eight days),ট্রেজারি বিল (২৮ দিন মেয়াদি),
8121102,Treasury bill (ninety-one days),ট্রেজারি বিল (৯১ দিন মেয়াদি),
8121103,Treasury bill (one hundred eighty two days),ট্রেজারি বিল (১৮২ দিন মেয়াদি),
8121104,Treasury bill (three hundred sixty-four days),ট্রেজারি বিল (৩৬৪ দিন মেয়াদি),
8121105,Treasury bill,ট্রেজারি বিল,
8121106,Promissory note,প্রমিজরি নোট,
8121107,Cash credit accommodation,নগদ অগ্রিম সংস্থান,
8122,Treasury bonds,ট্রেজারি বন্ডসমূহ,
81221,Treasury bonds,ট্রেজারি বন্ডসমূহ,
8122101,Treasury bond (one year),ট্রেজারি বন্ড (এক বছর মেয়াদি),
8122102,Treasury bond (two years),ট্রেজারি বন্ড (দুই বছর মেয়াদি),
8122103,Treasury bond (three years),তিন বছর মেয়াদি ট্রেজারি বন্ড,
8122104,Treasury bond (four years),চার বছর মেয়াদি ট্রেজারি বন্ড,
8122105,Treasury bond (five years),পাঁচ বছর মেয়াদি ট্রেজারি বন্ড,
8122106,Treasury bond (six years),ছয় বছর মেয়াদি ট্রেজারি বন্ড,
8122107,Treasury bond (seven years),সাত বছর মেয়াদি ট্রেজারি বন্ড,
8122108,Treasury bond (eight years),আট বছর মেয়াদি ট্রেজারি বন্ড,
8122109,Treasury bond (nine years),নয় বছর মেয়াদি ট্রেজারি বন্ড,
8122110,Treasury bond (ten Years),দশ বছর মেয়াদি ট্রেজারি বন্ড,
8122111,Treasury bond (eleven years),এগার বছর মেয়াদি ট্রেজারি বন্ড,
8122112,Treasury bond (thirteen years),তের বছর মেয়াদি ট্রেজারি বন্ড,
8122113,Treasury bond (fifteen years),পনের বছর মেয়াদি ট্রেজারি বন্ড,
8122114,Treasury bond (twenty years),বিশ বছর মেয়াদি ট্রেজারি বন্ড,
8122115,Treasury bond (twenty-five years),পঁচিশ বছর মেয়াদি ট্রেজারি বন্ড,
8122116,Block loan against ad-hoc treasury bill,এডহক ট্রেজারি বিলের বিপরীতে থোক ঋণ,
8122117,Special treasury bond,বিশেষ ট্রেজারি বন্ড,
81222,Floating Rate Treasury Bonds,ফ্লোটিং রেট ট্রেজারি বন্ড,
8122201,Floating Rate Treasury Bonds (three years),ফ্লোটিং রেট ট্রেজারি বন্ড (তিন বছর মেয়াদি),
8123,Islamic securities,ইসলামি সিকিউরিটিজ,
81231,Sukuk securities,সুকুক সিকিউরিটিজ,
8123101,Sukuk securities (five years),সুকুক সিকিউরিটিজ (পাঁচ বছর মেয়াদি),
813,Loans,ঋণ,
8131,Ways and means,উপায় উপকরণ (ways and means),
81311,Ways and means,উপায় উপকরণ (ways and means),
8131101,Ways and means advance,উপায় উপকরণ (ways and means) অগ্রিম,
8131102,Overdraft current,ওভারড্রাফ্ট কারেন্ট,
81312,Borrowing from PAC,প্রজাতন্ত্রের সরকারি হিসাব থেকে গৃহীত ঋণ,
8131201,Borrowing from PAC,প্রজাতন্ত্রের সরকারি হিসাব থেকে গৃহীত ঋণ,
81313,Borrowing from Bank,ব্যাংক থেকে গৃহীত ঋণ,
8131301,Borrowing from Bank,ব্যাংক থেকে গৃহীত ঋণ,
81314,Borrowing from Central Government,কেন্দ্রীয় সরকার থেকে গৃহীত ঋণ,
8131401,Borrowing from Central Government,কেন্দ্রীয় সরকার থেকে গৃহীত ঋণ,
814,Equity and investment fund shares,সমমূলধন (Equity) ও বিনিয়োগ তহবিল শেয়ার,
8141,Equity,সমমূলধন (Equity),
8142,Investment fund shares or units,বিনিয়োগ তহবিল শেয়ার বা ইউনিট,
815,"Insurance, pension and standardized guarantee schemes","বিমা, পেনশন ও প্রমিত গ্যারান্টি স্কিম",
8151,Non life insurance technical reserves,অজীবনবিমা প্রযুক্তিগত মজুত,
8152,Life insurance and annuity entitlements,জীবনবিমা ও বার্ষিক এনটাইটেলমেন্ট,
8153,Pension entitlements,পেনশন এনটাইটেলমেন্ট,
8154,Claims of pension fund on pension manager,পেনশন ম্যানেজারের ওপর পেনশন তহবিলের দাবি,
8155,Provisions for calls under standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের অধীন নিলাম ডাকের ব্যবস্থাপত্র,
816,Financial derivatives and employee stock options,ফিন্যান্সিয়াল ডেরিভেটিভস এন্ড এমপ্লয়ি স্টক অপশন,
8161,Financial derivatives,ফিন্যান্সিয়াল ডেরিভেটিভস,
8162,Employee stock options,কর্মচারী স্টক অপশন,
817,Other accounts payable,অন্যান্য দেয় হিসাব,
8171,Trade credit and advances,ট্রেড ক্রেডিট ও অগ্রিম,
8172,Miscellaneous other accounts payable,বিবিধ অন্যান্য দেয় হিসাব,
81721,Cheques and bills suspense account,চেক ও বিলের সাসপেন্স অ্যাকাউন্ট,
8172101,Pre audit cheques CGA,প্রাক নিরীক্ষা চেক- সিজিএ,
8172102,Pre audit cheques railway,প্রাক নিরীক্ষা চেক- রেলওয়ে,
8172103,Chief accounts officer's cheques,প্রধান হিসাবরক্ষণ কর্মকর্তার চেক,
8172104,Divisional controller of accounts cheques,বিভাগীয় হিসাব নিয়ন্ত্রকের চেক,
8172105,District accounts officer's cheques,জেলা হিসাবরক্ষণ কর্মকর্তার চেক,
